0) 3d:-1.80478 -4.20141 -8.94485      2d: 924.336 1287.84
151) 3d:4.23495 0.765497 -8.18915      2d: 219.305 729.791
152) 3d:3.83182 1.73894 -8.11689      2d: 264.874 610.215
153) 3d:4.32215 2.31259 -7.91174      2d: 194.696 533.218
154) 3d:2.40393 -4.01198 -9.20948      2d: 460.283 1254.55
155) 3d:3.95211 2.13288 -7.99229      2d: 244.611 558.351
156) 3d:3.9595 -0.267462 -8.42341      2d: 262.561 853.547
157) 3d:4.62953 -0.271519 -8.23533      2d: 174.138 854.867
158) 3d:3.63848 -4.00708 -9.04328      2d: 321.884 1262.13
159) 3d:-1.49847 -4.09739 -10.22      2d: 855.492 1220.66
160) 3d:1.14727 -4.05079 -10.3635      2d: 597.676 1210.45
161) 3d:2.40202 -4.25448 -9.02263      2d: 457.437 1290.2
162) 3d:4.44248 -0.810622 -8.30805      2d: 200.246 918.871
163) 3d:1.6053 -4.02965 -10.3078      2d: 553.387 1210.78
164) 3d:3.24472 0.739292 -8.71918      2d: 355.364 738.026
165) 3d:2.2071 -4.09326 -9.50008      2d: 485.504 1250.14
166) 3d:4.05414 -3.25822 -8.74511      2d: 264.828 1191.84
167) 3d:4.42446 -0.176478 -8.25721      2d: 199.86 843.406
168) 3d:2.59146 -4.13831 -9.32215      2d: 442.135 1263.1
169) 3d:1.19697 -4.08739 -9.09705      2d: 590.392 1267.83
170) 3d:3.82735 1.6753 -8.18175      2d: 268.138 619.683
171) 3d:4.3077 1.55265 -8.0586      2d: 204.032 631.693
172) 3d:3.80307 -2.35993 -8.75113      2d: 293.449 1089.71
173) 3d:4.24988 -0.313008 -8.28204      2d: 221.954 859.529
174) 3d:3.92073 0.180852 -8.3551      2d: 264.289 800.814
175) 3d:3.41476 -1.32359 -8.97628      2d: 344.144 968.328
176) 3d:3.80105 -3.67452 -8.91425      2d: 299.572 1231.25
177) 3d:-0.238754 -4.07205 -10.6218      2d: 728.043 1203.61
178) 3d:3.16926 1.6158 -8.53836      2d: 358.613 635.036
179) 3d:3.32848 -1.11835 -8.90907      2d: 351.729 946.697
180) 3d:3.41991 -1.17607 -8.81962      2d: 338.842 954.355
181) 3d:4.13591 2.20176 -7.97914      2d: 221.244 549.351
182) 3d:1.60666 -4.30476 -9.84058      2d: 550.608 1257.17
183) 3d:4.29412 0.637566 -8.17523      2d: 211.49 744.877
184) 3d:3.09235 2.32199 -8.39411      2d: 363.261 548.771
185) 3d:3.29436 -0.124836 -8.87927      2d: 354.523 835.966
186) 3d:3.16103 1.61096 -8.50761      2d: 358.665 634.686
187) 3d:3.90743 -3.76177 -8.77376      2d: 282.553 1247.23
188) 3d:3.64429 -1.4766 -8.7252      2d: 310.454 989.88
189) 3d:4.4672 2.17983 -7.93472      2d: 177.84 550.704
190) 3d:4.65478 1.1438 -8.03938      2d: 160.419 681.549
191) 3d:1.02425 -0.704209 -8.80107      2d: 608.283 900.896
192) 3d:4.35985 -0.228269 -8.31198      2d: 210.234 849.196
193) 3d:3.98681 -0.152201 -8.42175      2d: 259.283 840.657
194) 3d:3.64435 -0.178192 -8.56902      2d: 304.858 842.792
195) 3d:3.33325 1.68475 -8.39112      2d: 334.871 623.497
196) 3d:3.58478 -3.57368 -9.05376      2d: 328.059 1214.02
197) 3d:3.75737 1.86079 -7.97819      2d: 268.122 592.039
